    i,        x,     lat,   solar_mon
  227,  0.13250,   7.614, 4.124822E+02
  228,  0.13750,   7.903, 4.122207E+02
  229,  0.14250,   8.193, 4.119495E+02
  230,  0.14750,   8.482, 4.116685E+02
  231,  0.15250,   8.772, 4.113777E+02
  232,  0.15750,   9.062, 4.110772E+02
  233,  0.16250,   9.352, 4.107669E+02
  234,  0.16750,   9.642, 4.104468E+02
  235,  0.17250,   9.933, 4.101169E+02
  236,  0.17750,  10.224, 4.097772E+02
  237,  0.18250,  10.515, 4.094274E+02
  238,  0.18750,  10.807, 4.090677E+02
  239,  0.19250,  11.099, 4.086980E+02
  240,  0.19750,  11.391, 4.083182E+02
  241,  0.20250,  11.683, 4.079285E+02
  242,  0.20750,  11.976, 4.075287E+02
  243,  0.21250,  12.269, 4.071189E+02
  244,  0.21750,  12.562, 4.066991E+02
  245,  0.22250,  12.856, 4.062694E+02
  246,  0.22750,  13.150, 4.058295E+02
  247,  0.23250,  13.444, 4.053793E+02
  248,  0.23750,  13.739, 4.049186E+02
  249,  0.24250,  14.034, 4.044475E+02
  250,  0.24750,  14.330, 4.039661E+02
  251,  0.25250,  14.625, 4.034746E+02
  252,  0.25750,  14.922, 4.029728E+02
  253,  0.26250,  15.218, 4.024608E+02
  254,  0.26750,  15.516, 4.019382E+02
  255,  0.27250,  15.813, 4.014050E+02
  256,  0.27750,  16.111, 4.008612E+02
  257,  0.28250,  16.409, 4.003068E+02
  258,  0.28750,  16.708, 3.997419E+02
  259,  0.29250,  17.008, 3.991663E+02
  260,  0.29750,  17.308, 3.985801E+02
  261,  0.30250,  17.608, 3.979832E+02
  262,  0.30750,  17.909, 3.973756E+02
  263,  0.31250,  18.210, 3.967572E+02
  264,  0.31750,  18.512, 3.961279E+02
  265,  0.32250,  18.814, 3.954874E+02
  266,  0.32750,  19.117, 3.948359E+02
  267,  0.33250,  19.421, 3.941734E+02
  268,  0.33750,  19.725, 3.935000E+02
  269,  0.34250,  20.029, 3.928156E+02
  270,  0.34750,  20.334, 3.921200E+02
  271,  0.35250,  20.640, 3.914129E+02
  272,  0.35750,  20.947, 3.906943E+02
  273,  0.36250,  21.254, 3.899643E+02
  274,  0.36750,  21.562, 3.892228E+02
  275,  0.37250,  21.870, 3.884699E+02
  276,  0.37750,  22.179, 3.877055E+02
