    i,        x,     lat,         t2m
  192, -0.04250,  -2.436, 2.991234E+02
  193, -0.03750,  -2.149, 2.991067E+02
  194, -0.03250,  -1.862, 2.990771E+02
  195, -0.02750,  -1.576, 2.990535E+02
  196, -0.02250,  -1.289, 2.990391E+02
  197, -0.01750,  -1.003, 2.990340E+02
  198, -0.01250,  -0.716, 2.990344E+02
  199, -0.00750,  -0.430, 2.990364E+02
  200, -0.00250,  -0.143, 2.990400E+02
  201,  0.00250,   0.143, 2.990474E+02
  202,  0.00750,   0.430, 2.990709E+02
  203,  0.01250,   0.716, 2.991129E+02
  204,  0.01750,   1.003, 2.991731E+02
  205,  0.02250,   1.289, 2.992367E+02
  206,  0.02750,   1.576, 2.992893E+02
  207,  0.03250,   1.862, 2.993309E+02
  208,  0.03750,   2.149, 2.993632E+02
  209,  0.04250,   2.436, 2.993962E+02
  210,  0.04750,   2.723, 2.994314E+02
  211,  0.05250,   3.009, 2.994686E+02
  212,  0.05750,   3.296, 2.995003E+02
  213,  0.06250,   3.583, 2.995194E+02
  214,  0.06750,   3.870, 2.995261E+02
  215,  0.07250,   4.158, 2.995234E+02
  216,  0.07750,   4.445, 2.995264E+02
  217,  0.08250,   4.732, 2.995373E+02
  218,  0.08750,   5.020, 2.995560E+02
  219,  0.09250,   5.307, 2.995748E+02
  220,  0.09750,   5.595, 2.995878E+02
  221,  0.10250,   5.883, 2.995950E+02
  222,  0.10750,   6.171, 2.995990E+02
  223,  0.11250,   6.459, 2.996106E+02
  224,  0.11750,   6.748, 2.996313E+02
  225,  0.12250,   7.036, 2.996607E+02
  226,  0.12750,   7.325, 2.996914E+02
  227,  0.13250,   7.614, 2.997187E+02
  228,  0.13750,   7.903, 2.997425E+02
  229,  0.14250,   8.193, 2.997618E+02
  230,  0.14750,   8.482, 2.997729E+02
  231,  0.15250,   8.772, 2.997757E+02
  232,  0.15750,   9.062, 2.997706E+02
  233,  0.16250,   9.352, 2.997710E+02
  234,  0.16750,   9.642, 2.997832E+02
  235,  0.17250,   9.933, 2.998073E+02
  236,  0.17750,  10.224, 2.998394E+02
  237,  0.18250,  10.515, 2.998711E+02
  238,  0.18750,  10.807, 2.999021E+02
  239,  0.19250,  11.099, 2.999319E+02
  240,  0.19750,  11.391, 2.999546E+02
  241,  0.20250,  11.683, 2.999685E+02
  242,  0.20750,  11.976, 2.999735E+02
  243,  0.21250,  12.269, 2.999743E+02
  244,  0.21750,  12.562, 2.999770E+02
  245,  0.22250,  12.856, 2.999818E+02
  246,  0.22750,  13.150, 2.999844E+02
  247,  0.23250,  13.444, 2.999604E+02
  248,  0.23750,  13.739, 2.999059E+02
  249,  0.24250,  14.034, 2.998213E+02
  250,  0.24750,  14.330, 2.997394E+02
  251,  0.25250,  14.625, 2.996815E+02
  252,  0.25750,  14.922, 2.996475E+02
  253,  0.26250,  15.218, 2.996297E+02
  254,  0.26750,  15.516, 2.996082E+02
  255,  0.27250,  15.813, 2.995820E+02
  256,  0.27750,  16.111, 2.995506E+02
  257,  0.28250,  16.409, 2.995082E+02
  258,  0.28750,  16.708, 2.994534E+02
  259,  0.29250,  17.008, 2.993862E+02
  260,  0.29750,  17.308, 2.993170E+02
  261,  0.30250,  17.608, 2.992553E+02
  262,  0.30750,  17.909, 2.992010E+02
  263,  0.31250,  18.210, 2.991440E+02
  264,  0.31750,  18.512, 2.990547E+02
  265,  0.32250,  18.814, 2.989313E+02
  266,  0.32750,  19.117, 2.987790E+02
  267,  0.33250,  19.421, 2.986495E+02
  268,  0.33750,  19.725, 2.985558E+02
  269,  0.34250,  20.029, 2.984977E+02
  270,  0.34750,  20.334, 2.984435E+02
  271,  0.35250,  20.640, 2.983715E+02
  272,  0.35750,  20.947, 2.982817E+02
  273,  0.36250,  21.254, 2.981800E+02
  274,  0.36750,  21.562, 2.980774E+02
  275,  0.37250,  21.870, 2.979741E+02
  276,  0.37750,  22.179, 2.978672E+02
  277,  0.38250,  22.489, 2.977438E+02
  278,  0.38750,  22.799, 2.976024E+02
  279,  0.39250,  23.110, 2.974454E+02
  280,  0.39750,  23.422, 2.973025E+02
  281,  0.40250,  23.735, 2.971819E+02
  282,  0.40750,  24.048, 2.970832E+02
  283,  0.41250,  24.362, 2.969834E+02
  284,  0.41750,  24.677, 2.968692E+02
  285,  0.42250,  24.993, 2.967408E+02
  286,  0.42750,  25.309, 2.966127E+02
  287,  0.43250,  25.626, 2.965009E+02
  288,  0.43750,  25.944, 2.964054E+02
  289,  0.44250,  26.264, 2.962965E+02
  290,  0.44750,  26.583, 2.961189E+02
  291,  0.45250,  26.904, 2.958713E+02
  292,  0.45750,  27.226, 2.955624E+02
  293,  0.46250,  27.549, 2.952171E+02
  294,  0.46750,  27.872, 2.948370E+02
  295,  0.47250,  28.197, 2.944390E+02
  296,  0.47750,  28.522, 2.940905E+02
  297,  0.48250,  28.849, 2.937986E+02
  298,  0.48750,  29.176, 2.935503E+02
  299,  0.49250,  29.505, 2.932798E+02
  300,  0.49750,  29.835, 2.929778E+02
  301,  0.50250,  30.166, 2.926552E+02
  302,  0.50750,  30.497, 2.923765E+02
  303,  0.51250,  30.830, 2.921523E+02
  304,  0.51750,  31.165, 2.919717E+02
  305,  0.52250,  31.500, 2.917692E+02
  306,  0.52750,  31.837, 2.915335E+02
  307,  0.53250,  32.175, 2.912627E+02
  308,  0.53750,  32.514, 2.909459E+02
  309,  0.54250,  32.854, 2.905812E+02
  310,  0.54750,  33.196, 2.901898E+02
  311,  0.55250,  33.539, 2.898660E+02
  312,  0.55750,  33.883, 2.896211E+02
  313,  0.56250,  34.229, 2.894153E+02
  314,  0.56750,  34.576, 2.891186E+02
  315,  0.57250,  34.925, 2.887209E+02
  316,  0.57750,  35.275, 2.883014E+02
  317,  0.58250,  35.627, 2.880296E+02
  318,  0.58750,  35.980, 2.879112E+02
  319,  0.59250,  36.335, 2.878738E+02
  320,  0.59750,  36.691, 2.878291E+02
  321,  0.60250,  37.049, 2.877760E+02
  322,  0.60750,  37.409, 2.876702E+02
  323,  0.61250,  37.770, 2.874855E+02
  324,  0.61750,  38.134, 2.872310E+02
  325,  0.62250,  38.499, 2.870041E+02
  326,  0.62750,  38.866, 2.868311E+02
  327,  0.63250,  39.235, 2.866947E+02
  328,  0.63750,  39.606, 2.865334E+02
  329,  0.64250,  39.978, 2.863418E+02
  330,  0.64750,  40.353, 2.860975E+02
  331,  0.65250,  40.730, 2.857728E+02
  332,  0.65750,  41.109, 2.853708E+02
  333,  0.66250,  41.491, 2.849415E+02
  334,  0.66750,  41.874, 2.845023E+02
  335,  0.67250,  42.260, 2.840802E+02
