    i,        x,     lat,toa_sw_all_mon
  309,  0.54250,  32.854, 9.860188E+01
  310,  0.54750,  33.196, 9.864695E+01
  311,  0.55250,  33.539, 9.876245E+01
  312,  0.55750,  33.883, 9.894825E+01
  313,  0.56250,  34.229, 9.920735E+01
  314,  0.56750,  34.576, 9.954952E+01
  315,  0.57250,  34.925, 9.997551E+01
  316,  0.57750,  35.275, 1.003867E+02
  317,  0.58250,  35.627, 1.005721E+02
  318,  0.58750,  35.980, 1.005247E+02
  319,  0.59250,  36.335, 1.004191E+02
  320,  0.59750,  36.691, 1.004697E+02
  321,  0.60250,  37.049, 1.006756E+02
  322,  0.60750,  37.409, 1.009581E+02
  323,  0.61250,  37.770, 1.012701E+02
  324,  0.61750,  38.134, 1.016105E+02
  325,  0.62250,  38.499, 1.019646E+02
  326,  0.62750,  38.866, 1.023283E+02
  327,  0.63250,  39.235, 1.026889E+02
  328,  0.63750,  39.606, 1.030007E+02
  329,  0.64250,  39.978, 1.032597E+02
  330,  0.64750,  40.353, 1.035045E+02
  331,  0.65250,  40.730, 1.037824E+02
  332,  0.65750,  41.109, 1.040897E+02
  333,  0.66250,  41.491, 1.043620E+02
  334,  0.66750,  41.874, 1.045767E+02
  335,  0.67250,  42.260, 1.047595E+02
  336,  0.67750,  42.649, 1.049904E+02
  337,  0.68250,  43.039, 1.052742E+02
  338,  0.68750,  43.433, 1.055248E+02
  339,  0.69250,  43.828, 1.056841E+02
  340,  0.69750,  44.227, 1.057718E+02
  341,  0.70250,  44.628, 1.058770E+02
  342,  0.70750,  45.032, 1.060106E+02
  343,  0.71250,  45.439, 1.061559E+02
  344,  0.71750,  45.848, 1.063006E+02
  345,  0.72250,  46.261, 1.064483E+02
  346,  0.72750,  46.677, 1.066119E+02
  347,  0.73250,  47.096, 1.067908E+02
  348,  0.73750,  47.519, 1.069424E+02
  349,  0.74250,  47.945, 1.070487E+02
  350,  0.74750,  48.374, 1.070632E+02
  351,  0.75250,  48.807, 1.069124E+02
  352,  0.75750,  49.244, 1.066331E+02
  353,  0.76250,  49.685, 1.064014E+02
  354,  0.76750,  50.130, 1.062368E+02
  355,  0.77250,  50.579, 1.060934E+02
  356,  0.77750,  51.032, 1.059551E+02
  357,  0.78250,  51.490, 1.057513E+02
  358,  0.78750,  51.952, 1.054293E+02
  359,  0.79250,  52.420, 1.049977E+02
  360,  0.79750,  52.892, 1.044685E+02
  361,  0.80250,  53.370, 1.038500E+02
  362,  0.80750,  53.852, 1.031604E+02
  363,  0.81250,  54.341, 1.024387E+02
  364,  0.81750,  54.835, 1.017953E+02
  365,  0.82250,  55.336, 1.012614E+02
  366,  0.82750,  55.843, 1.009144E+02
  367,  0.83250,  56.356, 1.006283E+02
  368,  0.83750,  56.877, 1.000208E+02
  369,  0.84250,  57.405, 9.910853E+01
  370,  0.84750,  57.941, 9.798439E+01
  371,  0.85250,  58.485, 9.681901E+01
  372,  0.85750,  59.037, 9.585960E+01
  373,  0.86250,  59.598, 9.535356E+01
  374,  0.86750,  60.169, 9.544696E+01
  375,  0.87250,  60.750, 9.552293E+01
  376,  0.87750,  61.342, 9.536720E+01
  377,  0.88250,  61.945, 9.496885E+01
  378,  0.88750,  62.561, 9.439066E+01
  379,  0.89250,  63.189, 9.373847E+01
  380,  0.89750,  63.831, 9.328950E+01
  381,  0.90250,  64.489, 9.316730E+01
  382,  0.90750,  65.162, 9.340985E+01
  383,  0.91250,  65.853, 9.321403E+01
  384,  0.91750,  66.563, 9.275311E+01
  385,  0.92250,  67.294, 9.302437E+01
  386,  0.92750,  68.048, 9.352967E+01
  387,  0.93250,  68.828, 9.409452E+01
  388,  0.93750,  69.636, 9.450339E+01
  389,  0.94250,  70.476, 9.466929E+01
  390,  0.94750,  71.352, 9.584940E+01
  391,  0.95250,  72.270, 9.742027E+01
  392,  0.95750,  73.236, 9.825306E+01
  393,  0.96250,  74.259, 9.862488E+01
  394,  0.96750,  75.353, 9.904866E+01
  395,  0.97250,  76.532, 9.961703E+01
  396,  0.97750,  77.823, 1.008081E+02
  397,  0.98250,  79.265, 1.015154E+02
  398,  0.98750,  80.931, 1.012500E+02
  399,  0.99250,  82.978, 1.025635E+02
  400,  0.99750,  85.948, 1.036268E+02
