    i,        x,     lat,toa_lw_all_mon
  233,  0.16250,   9.352, 2.458338E+02
  234,  0.16750,   9.642, 2.468639E+02
  235,  0.17250,   9.933, 2.479632E+02
  236,  0.17750,  10.224, 2.491145E+02
  237,  0.18250,  10.515, 2.502787E+02
  238,  0.18750,  10.807, 2.514541E+02
  239,  0.19250,  11.099, 2.526389E+02
  240,  0.19750,  11.391, 2.538069E+02
  241,  0.20250,  11.683, 2.549504E+02
  242,  0.20750,  11.976, 2.560694E+02
  243,  0.21250,  12.269, 2.571565E+02
  244,  0.21750,  12.562, 2.582018E+02
  245,  0.22250,  12.856, 2.592051E+02
  246,  0.22750,  13.150, 2.601656E+02
  247,  0.23250,  13.444, 2.610784E+02
  248,  0.23750,  13.739, 2.619427E+02
  249,  0.24250,  14.034, 2.627586E+02
  250,  0.24750,  14.330, 2.635395E+02
  251,  0.25250,  14.625, 2.642942E+02
  252,  0.25750,  14.922, 2.650226E+02
  253,  0.26250,  15.218, 2.657183E+02
  254,  0.26750,  15.516, 2.663648E+02
  255,  0.27250,  15.813, 2.669612E+02
  256,  0.27750,  16.111, 2.675082E+02
  257,  0.28250,  16.409, 2.680113E+02
  258,  0.28750,  16.708, 2.684721E+02
  259,  0.29250,  17.008, 2.688907E+02
  260,  0.29750,  17.308, 2.692654E+02
  261,  0.30250,  17.608, 2.695948E+02
  262,  0.30750,  17.909, 2.698789E+02
  263,  0.31250,  18.210, 2.701243E+02
  264,  0.31750,  18.512, 2.703493E+02
  265,  0.32250,  18.814, 2.705554E+02
  266,  0.32750,  19.117, 2.707439E+02
  267,  0.33250,  19.421, 2.709292E+02
  268,  0.33750,  19.725, 2.711149E+02
  269,  0.34250,  20.029, 2.713008E+02
  270,  0.34750,  20.334, 2.714615E+02
  271,  0.35250,  20.640, 2.715797E+02
  272,  0.35750,  20.947, 2.716551E+02
  273,  0.36250,  21.254, 2.716864E+02
  274,  0.36750,  21.562, 2.716706E+02
  275,  0.37250,  21.870, 2.716077E+02
  276,  0.37750,  22.179, 2.715001E+02
  277,  0.38250,  22.489, 2.713587E+02
  278,  0.38750,  22.799, 2.711847E+02
  279,  0.39250,  23.110, 2.709795E+02
  280,  0.39750,  23.422, 2.707578E+02
  281,  0.40250,  23.735, 2.705237E+02
  282,  0.40750,  24.048, 2.702771E+02
  283,  0.41250,  24.362, 2.700036E+02
  284,  0.41750,  24.677, 2.696954E+02
  285,  0.42250,  24.993, 2.693523E+02
  286,  0.42750,  25.309, 2.689827E+02
  287,  0.43250,  25.626, 2.685951E+02
  288,  0.43750,  25.944, 2.681898E+02
  289,  0.44250,  26.264, 2.677361E+02
  290,  0.44750,  26.583, 2.671770E+02
  291,  0.45250,  26.904, 2.665113E+02
  292,  0.45750,  27.226, 2.657540E+02
  293,  0.46250,  27.549, 2.649478E+02
  294,  0.46750,  27.872, 2.640953E+02
  295,  0.47250,  28.197, 2.632111E+02
  296,  0.47750,  28.522, 2.623532E+02
  297,  0.48250,  28.849, 2.615275E+02
  298,  0.48750,  29.176, 2.607213E+02
  299,  0.49250,  29.505, 2.598692E+02
  300,  0.49750,  29.835, 2.589620E+02
  301,  0.50250,  30.166, 2.580158E+02
  302,  0.50750,  30.497, 2.571250E+02
  303,  0.51250,  30.830, 2.563052E+02
  304,  0.51750,  31.165, 2.555441E+02
  305,  0.52250,  31.500, 2.547670E+02
  306,  0.52750,  31.837, 2.539612E+02
  307,  0.53250,  32.175, 2.531192E+02
  308,  0.53750,  32.514, 2.521985E+02
  309,  0.54250,  32.854, 2.511928E+02
  310,  0.54750,  33.196, 2.501300E+02
  311,  0.55250,  33.539, 2.491348E+02
  312,  0.55750,  33.883, 2.482223E+02
  313,  0.56250,  34.229, 2.473599E+02
  314,  0.56750,  34.576, 2.464405E+02
  315,  0.57250,  34.925, 2.454560E+02
  316,  0.57750,  35.275, 2.444808E+02
  317,  0.58250,  35.627, 2.436742E+02
  318,  0.58750,  35.980, 2.430416E+02
  319,  0.59250,  36.335, 2.424893E+02
  320,  0.59750,  36.691, 2.419024E+02
  321,  0.60250,  37.049, 2.412808E+02
  322,  0.60750,  37.409, 2.406334E+02
  323,  0.61250,  37.770, 2.399655E+02
  324,  0.61750,  38.134, 2.392825E+02
  325,  0.62250,  38.499, 2.386430E+02
  326,  0.62750,  38.866, 2.380627E+02
  327,  0.63250,  39.235, 2.375224E+02
  328,  0.63750,  39.606, 2.369540E+02
  329,  0.64250,  39.978, 2.363515E+02
  330,  0.64750,  40.353, 2.356915E+02
  331,  0.65250,  40.730, 2.349454E+02
  332,  0.65750,  41.109, 2.341195E+02
  333,  0.66250,  41.491, 2.333189E+02
  334,  0.66750,  41.874, 2.325808E+02
  335,  0.67250,  42.260, 2.319086E+02
  336,  0.67750,  42.649, 2.313129E+02
  337,  0.68250,  43.039, 2.307940E+02
  338,  0.68750,  43.433, 2.303020E+02
  339,  0.69250,  43.828, 2.298033E+02
  340,  0.69750,  44.227, 2.292899E+02
  341,  0.70250,  44.628, 2.287249E+02
  342,  0.70750,  45.032, 2.281042E+02
  343,  0.71250,  45.439, 2.274447E+02
  344,  0.71750,  45.848, 2.267589E+02
  345,  0.72250,  46.261, 2.260546E+02
  346,  0.72750,  46.677, 2.253599E+02
  347,  0.73250,  47.096, 2.246770E+02
  348,  0.73750,  47.519, 2.240008E+02
  349,  0.74250,  47.945, 2.233292E+02
  350,  0.74750,  48.374, 2.226689E+02
  351,  0.75250,  48.807, 2.220305E+02
  352,  0.75750,  49.244, 2.214062E+02
  353,  0.76250,  49.685, 2.207580E+02
  354,  0.76750,  50.130, 2.200850E+02
  355,  0.77250,  50.579, 2.194481E+02
  356,  0.77750,  51.032, 2.188684E+02
  357,  0.78250,  51.490, 2.183209E+02
  358,  0.78750,  51.952, 2.177873E+02
  359,  0.79250,  52.420, 2.172774E+02
  360,  0.79750,  52.892, 2.168056E+02
  361,  0.80250,  53.370, 2.163652E+02
  362,  0.80750,  53.852, 2.159414E+02
  363,  0.81250,  54.341, 2.155279E+02
  364,  0.81750,  54.835, 2.151091E+02
