    i,        x,     lat,         t2m
289,0.4425,26.264,2.96E+02
290,0.4475,26.583,2.96E+02
291,0.4525,26.904,2.96E+02
292,0.4575,27.226,2.96E+02
293,0.4625,27.549,2.95E+02
294,0.4675,27.872,2.95E+02
295,0.4725,28.197,2.94E+02
296,0.4775,28.522,2.94E+02
297,0.4825,28.849,2.94E+02
298,0.4875,29.176,2.94E+02
299,0.4925,29.505,2.93E+02
300,0.4975,29.835,2.93E+02
301,0.5025,30.166,2.93E+02
302,0.5075,30.497,2.92E+02
303,0.5125,30.83,2.92E+02
304,0.5175,31.165,2.92E+02
305,0.5225,31.5,2.92E+02
306,0.5275,31.837,2.92E+02
307,0.5325,32.175,2.91E+02
308,0.5375,32.514,2.91E+02
309,0.5425,32.854,2.91E+02
310,0.5475,33.196,2.90E+02
311,0.5525,33.539,2.90E+02
312,0.5575,33.883,2.90E+02
313,0.5625,34.229,2.89E+02
314,0.5675,34.576,2.89E+02
315,0.5725,34.925,2.89E+02
316,0.5775,35.275,2.88E+02
317,0.5825,35.627,2.88E+02
318,0.5875,35.98,2.88E+02
319,0.5925,36.335,2.88E+02
320,0.5975,36.691,2.88E+02
321,0.6025,37.049,2.88E+02
322,0.6075,37.409,2.88E+02
323,0.6125,37.77,2.87E+02
324,0.6175,38.134,2.87E+02
325,0.6225,38.499,2.87E+02
326,0.6275,38.866,2.87E+02
327,0.6325,39.235,2.87E+02
328,0.6375,39.606,2.87E+02
329,0.6425,39.978,2.86E+02
330,0.6475,40.353,2.86E+02
331,0.6525,40.73,2.86E+02
332,0.6575,41.109,2.85E+02
333,0.6625,41.491,2.85E+02
334,0.6675,41.874,2.85E+02
335,0.6725,42.26,2.84E+02
336,0.6775,42.649,2.84E+02
337,0.6825,43.039,2.84E+02
338,0.6875,43.433,2.83E+02
339,0.6925,43.828,2.83E+02
340,0.6975,44.227,2.83E+02
341,0.7025,44.628,2.83E+02
342,0.7075,45.032,2.82E+02
343,0.7125,45.439,2.82E+02
344,0.7175,45.848,2.82E+02
345,0.7225,46.261,2.81E+02
346,0.7275,46.677,2.81E+02
347,0.7325,47.096,2.80E+02
348,0.7375,47.519,2.80E+02
349,0.7425,47.945,2.80E+02
350,0.7475,48.374,2.80E+02
351,0.7525,48.807,2.79E+02
352,0.7575,49.244,2.79E+02
353,0.7625,49.685,2.79E+02
354,0.7675,50.13,2.78E+02
355,0.7725,50.579,2.78E+02
356,0.7775,51.032,2.78E+02
357,0.7825,51.49,2.78E+02
358,0.7875,51.952,2.77E+02
359,0.7925,52.42,2.77E+02
360,0.7975,52.892,2.77E+02
361,0.8025,53.37,2.77E+02
362,0.8075,53.852,2.77E+02
363,0.8125,54.341,2.76E+02
364,0.8175,54.835,2.76E+02
365,0.8225,55.336,2.76E+02
366,0.8275,55.843,2.76E+02
367,0.8325,56.356,2.75E+02
368,0.8375,56.877,2.75E+02
369,0.8425,57.405,2.75E+02
370,0.8475,57.941,2.75E+02
371,0.8525,58.485,2.75E+02
372,0.8575,59.037,2.74E+02
373,0.8625,59.598,2.74E+02
374,0.8675,60.169,2.73E+02
375,0.8725,60.75,2.72E+02
376,0.8775,61.342,2.72E+02
377,0.8825,61.945,2.71E+02
378,0.8875,62.561,2.71E+02
379,0.8925,63.189,2.70E+02
380,0.8975,63.831,2.69E+02
381,0.9025,64.489,2.69E+02
382,0.9075,65.162,2.68E+02
383,0.9125,65.853,2.68E+02
384,0.9175,66.563,2.67E+02
385,0.9225,67.294,2.67E+02
386,0.9275,68.048,2.66E+02
387,0.9325,68.828,2.66E+02
388,0.9375,69.636,2.65E+02
389,0.9425,70.476,2.65E+02
390,0.9475,71.352,2.65E+02
391,0.9525,72.27,2.64E+02
392,0.9575,73.236,2.64E+02
393,0.9625,74.259,2.63E+02
394,0.9675,75.353,2.62E+02
395,0.9725,76.532,2.62E+02
396,0.9775,77.823,2.61E+02
397,0.9825,79.265,2.61E+02
398,0.9875,80.931,2.60E+02
399,0.9925,82.978,2.60E+02
400,0.9975,85.948,2.60E+02
